code,open,close,high,low,volume,money,pct_change,tradDays,date
000035.XSHE,4.11,4.01,4.15,3.81,42325326.0,170689065.84000003,-0.0010005197139324462,5,2021-01-10
000035.XSHE,3.99,4.07,4.17,3.87,43369324.0,174424442.63000003,0.0005983087062040315,5,2021-01-17
000035.XSHE,4.07,3.99,4.13,3.94,34311065.0,138787408.54000002,-0.0008000099319941389,5,2021-01-24
000036.XSHE,4.06,3.98,4.06,3.94,16819391.0,67244663.78,-0.0007999099819999689,4,2020-12-27
000036.XSHE,3.98,3.98,4.01,3.94,15473747.0,61560293.2,-6.999400004037426e-08,4,2021-01-03
000036.XSHE,3.98,4.02,4.22,3.95,50696281.0,207295897.09,0.0003987296059735357,5,2021-01-10
000036.XSHE,4.02,3.91,4.04,3.87,26703475.0,104891295.03,-0.0010997799540023445,5,2021-01-17
000036.XSHE,3.9,3.89,4.04,3.88,28724765.000000004,113587769.16,-0.00020042993196056624,5,2021-01-24
000037.XSHE,11.91,11.7,11.96,10.83,38861038.0,442368663.98,-0.0029455644067840625,4,2020-12-27
000037.XSHE,11.7,10.92,11.8,10.87,28482457.0,318343541.79,-0.007781067221211857,4,2021-01-03
000037.XSHE,10.93,10.04,11.15,9.9,33422428.0,351298662.71999997,-0.008780199398997879,5,2021-01-10
000037.XSHE,10.1,10.17,10.45,9.75,32527996.999999993,330079949.59999996,0.0012953837178868444,5,2021-01-17
000037.XSHE,10.11,9.95,10.24,9.42,25136438.0,249021250.39,-0.0021986700960686667,5,2021-01-24
000038.XSHE,10.35,9.71,10.35,9.61,9227132.0,91746651.77,-0.00648773481773246,4,2020-12-27
000038.XSHE,9.71,9.6,9.74,9.22,10981468.0,103707379.53999999,-0.0011090572929999265,4,2021-01-03
000038.XSHE,9.55,9.15,9.74,8.38,19603982.0,180120700.31,-0.004507195045825307,5,2021-01-10
000038.XSHE,9.0,9.1,9.2,8.6,14929645.0,133000106.76,-0.00050628616142534,5,2021-01-17
000038.XSHE,9.08,9.58,9.73,9.0,18645605.0,175848250.26999998,0.004804191311506667,5,2021-01-24
000039.XSHE,15.2,15.37,15.73,14.36,94512958.0,1411448874.9100003,0.001443105779131315,4,2020-12-27
000039.XSHE,15.5,14.99,16.06,14.3,120456196.0,1813009434.24,-0.0038586332964168912,4,2021-01-03
000039.XSHE,15.1,16.44,17.0,14.67,272568988.0,4337431729.74,0.01450075489008018,5,2021-01-10
000039.XSHE,16.75,15.66,17.22,14.81,181713341.0,2853358805.96,-0.00785913269580929,5,2021-01-17
000039.XSHE,15.57,18.38,18.38,15.47,255444999.0,4316134227.650001,0.027362006397517513,5,2021-01-24
000040.XSHE,3.12,3.43,3.43,3.03,195759857.0,639964411.73,0.0028983070802277577,4,2020-12-27
000040.XSHE,3.45,3.49,3.63,3.36,347730381.0,1206985904.8100002,0.0005995297239773656,4,2021-01-03
000040.XSHE,3.45,3.07,3.69,2.99,318717016.0,1064463335.32,-0.0041960573160712,5,2021-01-10
000040.XSHE,3.06,3.12,3.17,3.02,147823907.0,457062397.1699999,0.0004997499350083423,5,2021-01-17
000040.XSHE,3.12,3.04,3.19,3.03,108401662.0,337258162.87999994,-0.0008000898720113003,5,2021-01-24
000042.XSHE,9.06,8.800000000000002,9.15,8.68,2282613.0,20296487.35,-0.003496570309504121,4,2020-12-27
000042.XSHE,8.82,9.14,9.16,8.66,8329318.0,74881145.42,0.0033999828828079615,4,2021-01-03
000042.XSHE,9.03,9.08,9.23,8.78,7290222.0,66364122.56,-0.0006000499579957852,5,2021-01-10
